treatment,replicate,month,day,month_adjust,host_age,day_past_infect,day_metsch_infect,day_infect,dead,missing,babies,coinf_treat,notes
10,18,June,28,-20,8,20,0,20,,,0,1,
10,19,June,28,-20,8,20,0,20,,,0,1,
10,20,June,28,-20,8,20,0,20,,,0,1,
10,21,June,28,-20,8,20,0,20,,,0,1,
10,22,June,28,-20,8,20,0,20,,,1,1,
10,23,June,28,-20,8,20,0,20,,Y,0,1,Replaced (0 babies)
10,24,June,28,-20,8,20,0,20,,,0,1,
10,25,June,28,-20,8,20,0,20,,,0,1,
10,26,June,28,-20,8,20,0,20,,,0,1,
10,27,June,28,-20,8,20,0,20,,,0,1,
10,28,June,28,-20,8,20,0,20,,,0,1,
10,29,June,28,-20,8,20,0,20,,,0,1,
10,30,June,28,-20,8,20,0,20,,,0,1,
11,1,June,28,-20,8,0,20,20,,,0,2,
11,2,June,28,-20,8,0,20,20,,,0,2,
11,3,June,28,-20,8,0,20,20,,,2,2,
11,4,June,28,-20,8,0,20,20,,,0,2,
11,5,June,28,-20,8,0,20,20,,,0,2,
11,6,June,28,-20,8,0,20,20,,,0,2,
11,7,June,28,-20,8,0,20,20,,,0,2,
11,8,June,28,-20,8,0,20,20,,,1,2,
11,9,June,28,-20,8,0,20,20,,Y,0,2,Replaced (0 babies)
11,10,June,28,-20,8,0,20,20,,,0,2,
11,11,June,28,-20,8,0,20,20,,Y,0,2,Replaced (0 babies)
11,12,June,28,-20,8,0,20,20,,,0,2,
11,13,June,28,-20,8,0,20,20,,,0,2,
11,14,June,28,-20,8,0,20,20,,,0,2,
11,15,June,28,-20,8,0,20,20,,,0,2,
11,16,June,28,-20,8,0,20,20,,,0,2,
11,17,June,28,-20,8,0,20,20,,,0,2,
11,18,June,28,-20,8,0,20,20,,,0,2,
11,19,June,28,-20,8,0,20,20,,,0,2,
11,20,June,28,-20,8,0,20,20,,,0,2,
11,21,June,28,-20,8,0,20,20,,,0,2,
11,22,June,28,-20,8,0,20,20,,,4,2,
11,23,June,28,-20,8,0,20,20,,,0,2,
11,24,June,28,-20,8,0,20,20,,,0,2,
11,25,June,28,-20,8,0,20,20,,,0,2,
11,26,June,28,-20,8,0,20,20,,,0,2,
11,27,June,28,-20,8,0,20,20,,,0,2,
11,28,June,28,-20,8,0,20,20,,,0,2,
11,29,June,28,-20,8,0,20,20,,,2,2,
11,30,June,28,-20,8,0,20,20,,,0,2,
6,1,June,28,-20,8,12,0,12,,,0,1,
6,2,June,28,-20,8,12,0,12,,,5,1,
6,3,June,28,-20,8,12,0,12,,,6,1,
6,4,June,28,-20,8,12,0,12,,,0,1,
6,5,June,28,-20,8,12,0,12,,,0,1,
6,6,June,28,-20,8,12,0,12,,,0,1,
6,7,June,28,-20,8,12,0,12,,,0,1,
6,8,June,28,-20,8,12,0,12,,,0,1,
6,9,June,28,-20,8,12,0,12,,,0,1,
6,10,June,28,-20,8,12,0,12,,,0,1,
6,11,June,28,-20,8,12,0,12,,,0,1,
